type,eventId,socket_sequence,events
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.01', 'delta': '181242.102', 'remaining': '181242.102', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.02', 'delta': '22959.5', 'remaining': '22959.5', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.03', 'delta': '33', 'remaining': '33', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.04', 'delta': '0.00055', 'remaining': '0.00055', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.05', 'delta': '3693', 'remaining': '3693', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.09', 'delta': '300', 'remaining': '300', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.10', 'delta': '124528.4', 'remaining': '124528.4', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.11', 'delta': '280', 'remaining': '280', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.12', 'delta': '100', 'remaining': '100', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.13', 'delta': '10001', 'remaining': '10001', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.14', 'delta': '117.14285714', 'remaining': '117.14285714', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.16', 'delta': '6', 'remaining': '6', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.17', 'delta': '500', 'remaining': '500', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.20', 'delta': '10250', 'remaining': '10250', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.22', 'delta': '900', 'remaining': '900', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.24', 'delta': '832.25', 'remaining': '832.25', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.25', 'delta': '873', 'remaining': '873', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.26', 'delta': '3251', 'remaining': '3251', 'side': 'bid'}"
update,5497745246,0,"{'type': 'change', 'reason': 'initial', 'price': '0.29', 'delta': '1', 'remaining': '1', 'side': 'bid'}"
